Title,Release year,Genre,Runtime(min),Rating,Votes
"Na xie nian, wo men yi qi zhui de nu hai",2011,"Comedy, Drama, Romance",109,7.6,11362
Galvijas,2011,"Crime, Drama",129,7.3,24118
Róza,2011,"Drama, War",90,7.5,3929
Life in a Day,2011,"Documentary, Drama",95,7.6,15498
Le tableau,2011,"Animation, Adventure, Drama",80,7.3,4472
Play,2011,Drama,118,7.1,6327
Lyubov i golubi,1985,"Comedy, Drama, Romance",107,7.9,5401
"Skaz pro to, kak tsar Pyotr arapa zhenil",1976,"Musical, Romance",100,7.2,495
Rozygrysh,1977,"Drama, Musical, Romance",96,7.1,408
Hearat Shulayim,2011,"Comedy, Drama",107,7.1,6265
Un amour de jeunesse,2011,"Drama, Romance",110,6.6,5676
"Mapetai, sugrįžimas",2011,"Adventure, Comedy, Family",120,7.1,96015
Faust,2011,"Drama, Fantasy, Mystery",140,6.5,5704
For Lovers Only,2011,"Comedy, Drama, Romance",87,6.9,1638
Michael,2011,"Drama, Thriller",96,6.9,5056
Kita žemė,2011,"Drama, Mystery, Romance",92,6.9,99011
Super 8,2011,"Action, Mystery, Sci-Fi",112,7.0,364606
Purvini žaidimai,2011,"Drama, Thriller",101,7.1,228696
Die verlorene Zeit,2011,"Drama, Romance, Thriller",105,7.2,2317
Sai de ke · ba lai: Tai yang qi,2011,"Action, Drama, History",144,7.5,7265
One Life,2011,"Documentary, Family",85,7.9,2676
Geležinė ledi,2011,"Biography, Drama",105,6.4,112729
Sands of Iwo Jima,1949,"Action, Drama, Romance",100,7.0,11219
Dead Reckoning,1946,"Crime, Drama, Film-Noir",100,7.1,8548
Penny Serenade,1941,"Drama, Romance",119,7.0,7838
A Night in Casablanca,1946,"Comedy, Family",85,6.9,7332
He Walked by Night,1948,"Crime, Film-Noir, Thriller",79,7.1,6549
Thirty Seconds Over Tokyo,1944,"Drama, History, War",138,7.2,6352
The Thin Man Goes Home,1944,"Film-Noir, Mystery",100,7.3,6161
L'homme qui plantait des arbres,1987,"Animation, Short, Drama",30,8.5,6020
Lured,1947,"Crime, Drama, Film-Noir",102,7.0,4504
Holiday Affair,1949,"Comedy, Drama, Family",87,7.1,6645
Too Late for Tears,1949,"Crime, Film-Noir",99,7.3,5482
Tales of Manhattan,1942,"Comedy, Drama, Romance",118,7.3,2471
A Stolen Life,1946,Drama,109,7.2,3974
Pjudymas,1944,"Drama, Romance",101,7.3,3719
"Larceny, Inc",1942,Comedy,95,7.3,3042
City for Conquest,1940,"Drama, Sport",104,7.2,2661
Between Two Worlds,1944,"Mystery, Drama, Fantasy",112,7.1,2314
The Verdict,1946,"Crime, Drama, Film-Noir",86,7.2,2773
The Three Musketeers,1948,"Action, Adventure, Drama",125,7.1,6801
Life with Father,1947,"Comedy, Family",118,7.1,6263
Pinky,1949,Drama,102,7.2,3375
Command Decision,1948,"Action, Drama, War",112,7.3,2139
The Face Behind the Mask,1941,"Crime, Drama, Film-Noir",69,7.1,1810
Gangs of Wasseypur,2012,"Action, Comedy, Crime",321,8.2,101934
Elena,2012,"Documentary, Biography, Drama",80,7.5,2020
Kaip išgyventi per marą,2012,"Documentary, History, News",110,7.6,4315
Ship of Theseus,2012,Drama,140,8.0,7688
Consuming Spirits,2012,"Animation, Comedy, Drama",136,7.5,297
Alam laysa lana,2012,"Documentary, Biography, History",93,7.9,498
The Central Park Five,2012,"Documentary, Crime, History",119,7.7,7854
56 Up,2012,Documentary,144,7.9,2429
Kahaani,2012,"Mystery, Thriller",122,8.1,65048
O Som ao Redor,2012,"Drama, Thriller",131,7.1,8626
Niujorko šešelyje,2012,"Crime, Drama, Thriller",140,7.3,285568
"Kirishima, bukatsu yamerutteyo",2012,Drama,103,7.2,2596
Marley,2012,"Documentary, Biography, Music",144,7.9,14157
Du zhan,2012,"Action, Crime, Drama",107,7.0,10729
Harry Dean Stanton: Partly Fiction,2012,"Documentary, Biography",77,7.4,1308
Valstybės vartų sargai,2012,"Documentary, History, War",101,7.6,5825
7 cajas,2012,"Adventure, Crime, Drama",105,7.1,6038
Barbara,2012,Drama,105,7.2,15627
Mudas,2012,"Adventure, Drama",130,7.4,186661
More Than Honey,2012,Documentary,95,7.5,4295
Brooklyn Castle,2012,Documentary,101,7.2,1002
Cesare deve morire,2012,Drama,77,7.3,6732
Gyventi,2012,Drama,119,7.2,1747
Lore,2012,"Drama, Romance, War",109,7.1,15792
Plaukti tyliai ir giliai,1958,"Action, Drama, War",93,7.3,12805
Teacher's Pet,1958,"Comedy, Romance",120,7.1,4783
Boom Town,1940,"Drama, Romance, Western",119,7.0,3721
L'enfant d'en haut,2012,"Crime, Drama",97,7.0,7143
À perdre la raison,2012,"Crime, Drama",111,6.8,3093
Intymios pamokos,2012,"Biography, Comedy, Drama",95,7.2,43747
Paradies: Glaube,2012,Drama,115,6.7,4992
Ana Karenina,2012,"Drama, Romance",129,6.6,105118
What Maisie Knew,2012,Drama,99,7.4,28481
Después de Lucía,2012,Drama,103,7.1,6901
Hannah Arendt,2012,"Biography, Drama",113,7.1,11888
Ce que le jour doit à la nuit,2012,"Drama, Romance",162,7.8,3844
Thuppakki,2012,"Action, Thriller",165,8.1,37325
A Late Quartet,2012,"Drama, Music",105,7.1,15184
Kapringen,2012,"Drama, Thriller",103,7.1,17279
Rasskazy,2012,"Comedy, Drama, Mystery",105,6.9,1914
Bekas,2012,"Adventure, Drama",97,7.5,5707
Unconditional,2012,"Biography, Crime, Drama",92,7.0,4942
Modigliani,2004,"Biography, Drama",128,7.2,12397
Kraujo upes,2000,"Crime, Mystery, Thriller",106,6.9,64787
Matadoras,1986,"Drama, Thriller",110,6.9,12762
Cerný Petr,1964,"Comedy, Drama",85,7.0,3046
Voicekas,1979,Drama,80,7.0,10330
Mandarinai,2013,"Drama, War",87,8.1,48284
La carrière de Suzanne,1963,"Drama, Romance",54,6.8,4136
Maelström,2000,Drama,87,6.7,7011
Le beau Serge,1958,Drama,98,7.1,3705
Bravo maestro,1978,Drama,99,7.2,102
Nordkraft,2005,"Crime, Drama, Romance",125,6.8,2838
Vecernja zvona,1986,"Drama, War",120,7.2,189
Miegok kietai,2011,"Crime, Drama, Thriller",102,7.2,45886
Ateitis,2016,Drama,102,6.9,14543
A nagy füzet,2013,"Drama, War",112,7.0,3224
Toli nuo skubancios minios,2015,"Drama, Romance",119,7.1,52714
Fantastiska moteris,2017,Drama,104,7.2,27001
The Solid Gold Cadillac,1956,"Comedy, Romance",99,7.5,2192
Let the Fire Burn,2013,Documentary,88,7.9,1438
Tatuagem,2013,Drama,110,7.2,2150
Jodorowsky's Dune,2013,Documentary,90,8.0,26446
Jigoku de naze warui,2013,"Action, Comedy, Horror",129,7.1,8849
O Menino e o Mundo,2013,"Animation, Adventure, Family",80,7.5,7504
Dezutes pietums,2013,"Drama, Romance",104,7.8,59810
The Snows of Kilimanjaro,1952,"Adventure, Drama, Romance",114,6.1,5748
La jaula de oro,2013,Drama,108,7.6,5095
The Selfish Giant,2013,Drama,91,7.3,12653
Įkalintasis,2013,"Crime, Drama",106,7.3,48190
Sunku buti dievu,2013,"Drama, Sci-Fi",177,6.6,6244
Le dernier des injustes,2013,"Documentary, History",220,7.3,786
Vivianos Maier atradimas,2013,"Documentary, Biography, Mystery",83,7.7,14915
Ryšys,2013,"Drama, Mystery, Sci-Fi",89,7.2,142218
Ilo Ilo,2013,Drama,99,7.2,4948
Praeities griuvesiai,2013,"Crime, Drama, Thriller",90,7.1,77840
Priešas,2013,"Drama, Mystery, Thriller",91,6.9,209120
After Tiller,2013,"Documentary, Biography, Drama",85,7.4,1110
Uroki garmonii,2013,Drama,120,7.3,994
Omaras,2013,"Crime, Drama, Romance",98,7.5,15217
Ne me quitte pas,2013,"Documentary, Comedy, Drama",107,7.2,434
Charlie's Country,2013,"Adventure, Drama",108,7.3,2747
Klases priesas,2013,Drama,112,7.5,2268
Grzeli nateli dgeebi,2013,Drama,102,7.3,7063
Pasaulio pabaiga,2013,"Action, Comedy, Sci-Fi",109,6.9,294818
Prasta sukuosena,2013,Drama,93,6.9,2417
Lokas,2013,Drama,85,7.1,157370
Heli,2013,"Crime, Drama, Romance",105,6.8,5329
Il capitale umano,2013,"Crime, Drama",111,7.2,13307
Tomas atvyko į kaimą,2013,"Drama, Mystery, Thriller",102,6.9,19026
Raketa,2013,Drama,100,7.3,3179
Belle,2013,"Biography, Drama, Romance",100,7.3,32724
Nieksai,2013,"Drama, Romance",100,6.1,3677
Alan Partridge: Alpha Papa,2013,"Action, Comedy, Crime",90,6.9,32760
Už šviestuvo,2013,"Biography, Drama, Music",118,7.0,45042
The Disappearance of Eleanor Rigby: Her,2013,"Drama, Romance",100,6.9,9663
Pedsakai,2013,"Adventure, Biography, Drama",112,7.1,31268
Sorg og glæde,2013,Drama,107,7.0,1282
Eleonoros Rigbi dingimas,2013,"Drama, Romance",89,6.8,10254
Cheap Thrills,2013,"Comedy, Crime, Drama",88,6.7,20226
So-won,2013,Drama,122,8.2,9267
Miss Violence,2013,Drama,98,7.1,9525
Adolf Hitler: The Greatest Story Never Told,2013,"Documentary, Biography, History",350,7.2,6130
Camille Claudel 1915,2013,"Biography, Drama",95,6.5,3882
"Guten Tag, Ramón",2013,Drama,120,7.6,2977
Budjenje iz mrtvih,2005,Drama,134,6.5,207
Apsolutnih sto,2001,"Action, Crime, Drama",93,7.5,3641
Tri palme za dve bitange i ribicu,1998,Comedy,103,7.6,3990
"Mammu, es Tevi milu",2013,Drama,83,7.4,896
Three Godfathers,1936,Western,81,7.3,895
Isvarymas 2,2016,"Horror, Mystery, Thriller",134,7.3,294378
"Nieko, išskyrus tiesą",2008,"Crime, Drama, Mystery",108,7.1,39509
Didysis Kioto gaisras,2014,"Action, Adventure, Drama",138,7.5,18000
Siandien noriu grizti vienas,2014,"Drama, Romance",96,7.9,27253
Boy Meets Girl,2014,"Comedy, Drama, Romance",95,7.1,4903
Loin des hommes,2014,"Drama, War",101,7.2,8618
Respire,2014,Drama,91,7.0,7740
Vonarstræti,2014,Drama,129,7.2,1864
The Gospel of John,2014,Drama,160,7.8,998
"Je vais bien, ne t'en fais pas",2006,Drama,92,7.3,11210
Apgaulės meistrai,2013,"Crime, Mystery, Thriller",115,7.2,694997
La rafle,2010,"Drama, History, War",115,7.0,9253
Kreuzweg,2014,Drama,110,7.4,4572
Vedlys,2014,"Drama, History",122,7.7,3371
The Overnighters,2014,"Documentary, Drama",102,7.4,2529
Qin ai de,2014,Drama,128,7.6,2557
Veju kryzkeleje,2014,"Drama, History",90,7.5,1675
Calla Lily,2015,Drama,83,4.8,3269
Nise: O Coração da Loucura,2015,"Biography, Drama, History",106,7.6,2555
De Palma,2015,"Documentary, Biography",110,7.4,6082
Bakemono no ko,2015,"Animation, Action, Adventure",119,7.6,26287
O.J.: pagaminta Amerikoje,2016,"Documentary, Biography, Crime",467,8.9,21036
L'abécédaire de Gilles Deleuze,1996,Documentary,450,8.8,158
Life in the Freezer,1993,Documentary,30,8.6,1534
O Ilias tou 16ou,1959,Comedy,88,8.0,1828
"Mano, Cukinijos, gyvenimas",2016,"Animation, Comedy, Drama",66,7.8,28329
Slove,2016,Drama,101,7.6,2480
Arise from Darkness,2016,"Drama, Thriller",90,7.2,705
Urideul,2016,"Drama, Family",95,7.5,1042
Klampyne,2016,Drama,106,7.4,837
Urok,2014,Drama,111,7.2,2725
Melanijas hronika,2016,"Biography, Drama, History",120,7.3,912
Baigiamieji egzaminai,2016,"Crime, Drama",128,7.3,14536
Samiu kraujas,2016,"Drama, History",110,7.3,8160
Au revoir là-haut,2017,"Comedy, Crime, Drama",117,7.4,10755
Bubblegum,2017,Drama,104,7.4,1401
The Butler,2017,Thriller,70,7.5,458
Deception: Oo Pel Dan Myin,2018,"Drama, Thriller",88,7.6,1488
Da xiang xidi erzuo,2018,"Crime, Drama",230,7.8,7725
The Transcendents,2018,"Music, Mystery, Thriller",96,5.5,2792
Bille,2018,Drama,104,7.4,808
Baiga vasara,2000,"Drama, History",112,7.1,450
Kriminalas ekselences fonds,2018,"Action, Comedy, Crime",126,8.1,1346
Rygos sargai,2007,"Action, Drama, History",118,6.6,2034
Eighth Grade,2018,"Comedy, Drama",93,7.4,81191
Galiu tik isivaizduoti,2018,"Biography, Drama, Family",110,7.3,17649
Das schweigende Klassenzimmer,2018,"Drama, History",111,7.4,5829
Örök tél,2018,"Drama, History, Romance",110,7.3,1937
The Painted Bird,2019,"Drama, Horror, Thriller",169,7.3,7297
The Three Caballeros,1944,"Animation, Comedy, Family",71,6.3,15242
Le voyage à travers l'impossible,1904,"Short, Action, Adventure",24,7.5,3873
The Avenging Conscience: or 'Thou Shalt Not Kill',1914,"Crime, Drama, Horror",78,6.4,1388
Hot Water,1924,Comedy,53,7.1,1531
Battling Butler,1926,"Comedy, Sport",77,7.0,3802
A Woman of Affairs,1928,Drama,98,7.2,1668
Don Quixote,1933,"Adventure, Comedy, Drama",73,6.5,389
Curly Top,1935,"Family, Musical, Romance",75,6.8,2067
The Prince and the Pauper,1937,"Adventure, Drama, Family",118,7.2,2771
The Adventures of Tom Sawyer,1938,"Adventure, Drama, Family",91,7.1,2186
A Chump at Oxford,1940,"Comedy, Family",62,7.2,4245
Come Live with Me,1941,"Comedy, Romance",86,7.0,2348
Ziegfeld Girl,1941,"Drama, Musical, Romance",132,6.7,3399
Shadow of the Thin Man,1941,"Drama, Mystery",97,7.2,6755
Song of the Thin Man,1947,"Comedy, Crime, Musical",86,6.9,5646
Double Wedding,1937,"Comedy, Romance",87,6.9,2498
Mr. Bug Goes to Town,1941,"Animation, Comedy, Family",78,6.9,1380
You Were Never Lovelier,1942,"Comedy, Musical, Romance",97,7.2,4025
Action in the North Atlantic,1943,"Drama, War",126,7.0,4508
A Guy Named Joe,1943,"Drama, Fantasy, Romance",120,6.9,2821
Summer Storm,1944,"Crime, Drama, Film-Noir",106,6.6,648
Svadba,1944,Comedy,64,8.1,363
The Keys of the Kingdom,1944,"Drama, War",137,7.2,3014
Three Strangers,1946,"Crime, Drama, Film-Noir",92,7.0,2534
Nobody Lives Forever,1946,"Crime, Drama, Film-Noir",100,7.0,1811
Young Man with a Horn,1950,"Biography, Drama, Music",112,7.2,3785
Mystery Street,1950,"Crime, Drama, Film-Noir",93,7.2,3357
The Men,1950,Drama,87,7.1,5005
The Magic Box,1951,"Biography, Drama, History",118,7.0,1387
Moulin Rouge,1952,"Biography, Drama, Music",119,7.0,6311
Ena votsalo sti limni...,1952,Comedy,102,7.8,429
State Secret,1950,"Drama, Romance, Thriller",104,7.0,800
Vorošilovo šaulys,1999,"Crime, Drama",95,7.4,4656
The Chase,1966,"Crime, Drama, Thriller",134,7.1,13012
A Dry White Season,1989,"Drama, Thriller",106,7.0,6035
Morituri,1965,"Action, Drama, Thriller",123,7.0,4336
Atlygis,2001,"Action, Crime, Drama",124,6.8,132699
The Freshman,1990,"Comedy, Crime",102,6.5,21630
9-oji kuopa,2005,"Action, Drama, History",139,7.1,21502
The Sun Shines Bright,1953,"Comedy, Drama, Western",90,6.9,1755
Titanic,1953,"Drama, History, Romance",98,7.0,7532
Mogambo,1953,"Adventure, Drama, Romance",116,6.6,8870
Elos slenyje,2007,"Crime, Drama, Mystery",121,7.2,74621
Tigras ir sniegas,2005,"Comedy, Drama, Romance",114,7.0,14349
Vilko draugija,2001,"Action, Adventure, Drama",142,7.0,70173
Lilo ir Stičas,2002,"Animation, Adventure, Comedy",85,7.3,206883
Bal-Kan-Kan,2005,"Action, Adventure, Comedy",89,7.7,2746
Mrtav 'ladan,2002,"Comedy, Drama",90,8.3,9924
Nema malih bogova,1961,Comedy,103,7.9,179
Sreca u torbi,1961,Comedy,90,7.9,104
Kapetan Lesi,1960,"Drama, War",108,7.1,218
Hell Is a City,1960,"Crime, Thriller",98,7.0,1306
The Horse Soldiers,1959,"Adventure, Drama, Romance",120,7.1,11414
Kaimo mergina,1954,"Drama, Music",104,7.2,6476
Hondo,1953,"Drama, Romance, War",83,7.0,12147
The Glenn Miller Story,1954,"Biography, Drama, Music",115,7.3,9527
River of No Return,1954,"Action, Adventure, Drama",91,6.6,12589
Love Me or Leave Me,1955,"Biography, Drama, Music",122,7.1,4635
Cipelice na asfaltu,1956,Family,77,7.1,48
Edge of the City,1957,Drama,85,7.2,3489
Designing Woman,1957,"Comedy, Romance",118,6.7,5365
A Tale of Two Cities,1958,"Drama, History, Romance",117,7.1,1589
Indiscreet,1958,"Comedy, Romance",100,6.7,9945
The Old Man and the Sea,1958,"Adventure, Drama",86,6.9,8490
The Limey,1999,"Crime, Drama, Mystery",89,6.9,34336
Tui shou,1991,"Comedy, Drama",105,7.2,4696
Jägarna,1996,"Crime, Thriller",113,7.0,9239
Ostinas Pauersas - tarptautinis šnipas,1997,"Adventure, Comedy",94,7.0,253295
X failai,1998,"Drama, Mystery, Sci-Fi",121,7.0,109135
Secret défense,1998,"Crime, Drama",170,7.0,940
Ponia Braun,1997,"Biography, Drama, History",101,7.2,15391
La discrète,1990,"Drama, Romance",94,7.0,1050
Vieniša baltoji moteris,1992,"Drama, Thriller",107,6.4,41122
Asmenybes jega,1992,"Drama, Sport",127,7.1,10547
Patikrinimo punktas,1999,"Drama, Romance, War",85,7.2,855
Stand and Deliver,1988,"Biography, Drama",103,7.3,21965
Rambling Rose,1991,Drama,112,6.6,5380
Jautiena,1992,"Comedy, Drama, Romance",95,6.4,14785
Amantes,1991,"Crime, Drama, Romance",103,6.9,3380
La buena estrella,1997,Drama,110,7.0,2733
Nuostabios merginos,1996,"Comedy, Drama, Romance",112,7.1,34379
Naktis virš Manheteno,1996,"Crime, Drama, Thriller",113,6.6,8609
Comedian Harmonists,1997,"Biography, Drama, Music",126,7.2,3560
Secretos del corazón,1997,Drama,105,7.0,2019
Rosewood,1997,"Action, Drama, History",140,7.2,8768
Visi šunys keliauja į rojų,1989,"Animation, Adventure, Comedy",84,6.7,45245
Kas beldžiasi i mano duris,1967,Drama,90,6.6,9910
Juve contre Fantômas,1913,"Crime, Drama",61,6.9,1655
Le mort qui tue,1913,"Crime, Drama, Mystery",90,6.9,1308
Fantômas contre Fantômas,1914,"Crime, Drama",59,6.8,1407
North to Alaska,1960,"Comedy, Romance, Western",122,6.9,8364
Quién sabe?,1967,"Action, Western",118,7.0,4969
Saps at Sea,1940,Comedy,56,7.1,3033
Swamp Water,1941,"Crime, Drama, Mystery",88,7.0,2029
Le caporal épinglé,1962,"Comedy, Drama, War",90,7.0,1013
Spencer's Mountain,1963,"Drama, Family",118,7.0,3123
Keliaujant i pietus,1978,"Comedy, Romance, Western",105,6.2,7775
Silent Movie,1976,Comedy,87,6.7,18239
One of Our Aircraft Is Missing,1942,"Action, Adventure, Drama",102,7.0,2467
Warum läuft Herr R. Amok,1970,Drama,88,7.2,2892
Despair,1978,"Drama, History",119,6.9,2647
O. Henry's Full House,1952,"Comedy, Drama",117,7.2,2959
Nikolas Niklbis,2002,"Adventure, Drama, Romance",132,7.1,13389
Resan till Melonia,1989,"Animation, Family, Adventure",104,7.3,1426
All Night Long,1962,"Drama, Music",91,7.0,1474
Dr. Jack,1922,"Comedy, Romance",60,7.1,1635
Phantom,1922,"Drama, Romance",125,6.7,1927
Each Dawn I Die,1939,"Crime, Drama, Film-Noir",92,7.2,3682
It's a Wonderful World,1939,"Comedy, Crime, Mystery",86,6.9,3315
The Private Lives of Elizabeth and Essex,1939,"Biography, Drama, History",106,7.0,6082
Vivacious Lady,1938,"Comedy, Romance",90,7.1,4021
Night Must Fall,1937,"Drama, Mystery, Thriller",116,7.2,2835
In Name Only,1939,"Drama, Romance",94,7.0,3447
Platinum Blonde,1931,"Comedy, Romance",89,6.8,3314
Dangerous,1935,"Drama, Romance",79,6.8,3591
At the Circus,1939,"Comedy, Musical",87,6.8,6350
The Devil-Doll,1936,"Drama, Horror, Sci-Fi",78,7.0,4853
Juarez,1939,"Biography, Drama, History",125,6.9,2522
The Amazing Dr. Clitterhouse,1938,"Crime, Drama",87,7.0,2935
Kid Galahad,1937,"Crime, Drama, Film-Noir",102,7.2,3877
Pietro wyzej,1937,"Comedy, Music, Romance",90,7.6,376
Father Goose,1964,"Adventure, Comedy, Romance",118,7.3,11908
The Stoning of Soraya M.,2008,Drama,116,7.9,21522
Redline,2009,"Animation, Action, Sci-Fi",102,7.5,16513
The Namesake,2006,Drama,122,7.5,21530
Keitas,2008,"Drama, Romance",95,7.4,37178
Nordwand,2008,"Adventure, Biography, Drama",126,7.4,16275
Le père Noël est une ordure,1982,Comedy,88,7.5,10106
Žakas Merinas: visuomenes priešas Nr. 1,2008,"Action, Biography, Crime",133,7.4,30964
No Time for Sergeants,1958,"Comedy, War",119,7.5,4375
Deiji,2006,"Action, Adventure, Drama",110,7.4,6526
The Chaplin Revue,1959,Comedy,128,7.7,1573
The Catered Affair,1956,"Comedy, Drama, Romance",94,7.4,3707
Hunted,1952,"Crime, Drama, Film-Noir",84,7.3,1385
Mississippi Damned,2009,Drama,120,7.5,988
Suwingu gâruzu,2004,"Comedy, Drama, Music",105,7.5,4574
Sílene smutná princezna,1968,"Comedy, Family, Fantasy",86,7.5,775
Žiniuonis,1982,"Drama, Romance",128,7.9,3552
Osvobozhdenie: Ognennaya duga,1970,"Drama, History, Romance",93,7.3,513
L'uomo che verrà,2009,"Drama, War",115,7.4,1791
Dögkeselyü,1982,"Action, Crime, Drama",115,7.9,1324
Alice,2005,Drama,102,7.4,2337
Csinibaba,1997,"Comedy, Musical, Romance",100,7.4,2246
Ting shuo,2009,"Drama, Romance",109,7.4,3335
La visita,1963,"Comedy, Romance",110,7.4,610
Sódóma Reykjavík,1992,"Comedy, Crime",78,7.6,1140
Kvar,1978,Drama,91,6.8,143
Premija,1975,Drama,83,7.6,445
Mircea,1989,"Action, Drama, History",136,7.7,832
La tête d'un homme,1933,"Crime, Mystery, Thriller",90,7.1,668
Konopielka,1982,"Comedy, Drama",92,7.5,886
Kit,1970,Comedy,76,7.9,336
The... Copanoi,1987,"Comedy, Crime",85,7.4,890
Pati žaviausia ir patraukliausia,1985,"Comedy, Romance",81,7.4,2127
Savi,2004,"Action, Drama, War",111,7.5,1351
Iluzija,2004,Drama,107,7.5,1165
Cerní baroni,1992,Comedy,99,7.6,759
Margarit i Margarita,1989,Drama,92,8.2,565
Voenno-polevoy roman,1983,"Drama, Romance",92,7.2,630
Radijo diena,2008,Comedy,100,7.3,3716
Slyozy kapali,1983,"Drama, Fantasy",84,7.8,771
Edi,2002,Drama,97,7.4,2187
I theia apo to Chicago,1957,Comedy,72,7.6,1739
Kyriakatiko xypnima,1954,"Comedy, Romance",95,7.4,653
Munje!,2001,Comedy,90,7.9,7872
Kad porastem bicu Kengur,2004,Comedy,92,8.4,11321
"Montevideo, Bog te video!",2010,"Adventure, Comedy, Drama",140,8.1,12810
Mirusi nuotaka,2005,"Animation, Drama, Family",77,7.4,294061
Patriotas,2000,"Action, Drama, History",165,7.2,289222
Mes buvome kariai,2002,"Action, Drama, History",138,7.2,149274
Lengvabūdė pirmūnė,2010,"Comedy, Drama, Romance",92,7.0,410445
Klerkai 2,2006,Comedy,97,7.3,139763
Looking for Alibrandi,2000,"Comedy, Drama, Romance",103,7.0,3506
Suteršta garbė,2003,"Drama, Romance, Thriller",106,6.2,31957
Paskutinė dvikova,2021,"Action, Drama, History",152,7.4,175599
"Kvaila, beprotiška meilė",2011,"Comedy, Drama, Romance",118,7.4,551571
Mažylis mieste,1998,"Adventure, Comedy, Drama",97,5.8,35065
Išpirka,1996,"Action, Crime, Thriller",121,6.7,133670
Johnny Stecchino,1991,"Comedy, Crime, Romance",102,7.2,11368
Ką numireliui veikti Denveryje?,1995,"Crime, Drama, Thriller",115,6.7,29363
Pamotė,1998,"Comedy, Drama",125,6.8,73423
Manhattan Murder Mystery,1993,"Comedy, Mystery",104,7.3,46185
Uola,1996,"Action, Adventure, Thriller",136,7.4,353378
Greitis,1994,"Action, Adventure, Thriller",116,7.3,384930
Išsišokėlė,1999,"Comedy, Romance",103,7.3,102511
Šeimos albumas: rugpjūtis,2013,"Comedy, Drama",121,7.2,94293
Australija,2008,"Adventure, Drama, Romance",165,6.6,128622
Prielipa,1996,"Comedy, Drama, Thriller",96,6.1,175174
Hamsun,1996,"Biography, Drama, War",159,7.2,1683
The Whole Wide World,1996,"Biography, Drama, Romance",111,7.0,3951
Džudas,1996,"Drama, Romance",123,6.9,11011
Baubai,1996,"Comedy, Fantasy, Horror",110,7.1,94272
A Ostra e o Vento,1997,"Fantasy, Drama",112,7.2,459
Suicide Kings,1997,"Comedy, Crime, Drama",106,6.9,28873
Torrente: El brazo tonto de la ley,1998,"Comedy, Crime",97,6.8,13326
Laukines aistros,1998,"Crime, Drama, Mystery",108,6.6,128145
Semo vasara,1999,"Crime, Drama, Romance",142,6.7,40820
Apgultyje,1998,"Drama, Romance",93,6.8,5177
Kur nuneša sapnai,1998,"Drama, Fantasy, Romance",113,7.0,113089
Gabus mokinys,1998,"Crime, Drama, Thriller",111,6.7,41084
Una,1984,"Drama, Romance",110,7.3,436
Ziveti kao sav normalan svet,1982,Drama,90,7.0,180
Astérix chez les Bretons,1986,"Animation, Adventure, Comedy",79,7.1,12298
Jaunasis Šerlokas Holmsas,1985,"Adventure, Fantasy, Mystery",109,6.8,23028
Nauja kaledine pasaka,1988,"Comedy, Drama, Fantasy",101,6.9,111719
Robinas ir Merijon,1976,"Adventure, Drama, Romance",106,6.5,13686
Magnum Force,1973,"Action, Crime, Mystery",124,7.2,65614
Nuolankumo busena,1990,"Action, Crime, Drama",134,7.2,24301
Iš arti,1986,"Crime, Drama",111,6.9,17347
Ant bangos keteros,1991,"Action, Crime, Thriller",122,7.3,197087
Jauni ginklai,1988,"Action, Drama, Western",107,6.8,66582
Klaikus išbandymas,1988,"Crime, Drama, Mystery",120,6.9,56948
Rio Lobo,1970,"Drama, War, Western",114,6.7,13390
Lego Betmenas. Filmas,2017,"Animation, Action, Adventure",104,7.3,168429
Antoine et Antoinette,1947,"Comedy, Drama",84,7.4,1084
Deathtrap,1982,"Comedy, Crime, Mystery",116,7.0,14987
Moterų svajonės,1955,Drama,87,7.0,3392
Blogis po saule,1982,"Crime, Drama, Mystery",117,7.0,19425
Sadie Thompson,1928,Drama,97,7.2,2787
West of Zanzibar,1928,"Drama, Horror, Mystery",65,7.2,1927
Den bästa sommaren,2000,"Comedy, Drama, Family",91,7.3,4387
Amen.,2002,"Biography, Crime, Drama",132,7.2,14838
Monsieur Batignole,2002,"Comedy, Drama, War",100,7.0,3419
Hukkle,2002,"Crime, Mystery, Drama",78,7.0,3829
Ve'Lakhta Lehe Isha,2004,Drama,97,7.1,607
Garbinga moteris,2014,"Drama, Thriller",60,7.9,11446
Šeimos intrigos,1976,"Comedy, Crime, Drama",120,6.8,24459
Praplėšta uždanga,1966,"Drama, Romance, Thriller",128,6.6,28711
The Paradine Case,1947,"Crime, Drama, Romance",125,6.5,12153
Slaptasis agentas,1936,"Mystery, Thriller",86,6.4,8893
Stowaway,1936,"Adventure, Family, Musical",87,7.1,1444
Det hemmelighedsfulde X,1914,"Drama, Mystery",84,6.8,665
"Kheyli Door, Kheyli Nazdik",2005,Drama,121,7.5,2814
Ha-Kochavim Shel Shlomi,2003,"Drama, Comedy",94,7.5,1201
Ekstazė,2018,"Drama, Horror, Music",97,6.9,76961
Vchera,1988,Drama,84,8.9,3466
Opasen char,1984,"Comedy, Thriller",90,8.9,1911
Selyaninat s koleloto,1974,Drama,102,7.8,156
Vreme na nasilie,1988,Drama,288,9.0,2369
Toplo,1978,Comedy,97,8.5,1153
Khan Asparuh,1981,"Drama, History, War",323,8.7,941
Bash maystorat na ekskurziya,1980,Comedy,71,8.1,198
Angoor,1982,Comedy,131,8.3,5739
